No, 授業形態, 大分類, 中分類, 小分類, 科目名, 科目名(新を除く), 配本名, 期No, 群, 単位数, レポ提出
14144, テキスト, 法学部専門教育科目, , 乙□, 日本外交史Ⅰ, 日本外交史Ⅰ, Ⅳ①, 7, F, 4, WEB可
14145, テキスト, 法学部専門教育科目, , 乙□, 日本外交史Ⅱ, 日本外交史Ⅱ, Ⅳ①, 7, E, 4, WEB可
14146, テキスト, 法学部専門教育科目, , 乙□, 西洋外交史, 西洋外交史, Ⅲ②, 6, B, 4, WEB可
14147, テキスト, 法学部専門教育科目, , 乙□, 政治思想史, 政治思想史, Ⅲ①, 5, C, 2, WEB可
14148, テキスト, 法学部専門教育科目, , 乙□, ヨーロッパ中世政治思想, ヨーロッパ中世政治思想, Ⅲ①, 5, A, 4, WEB可
14149, テキスト, 法学部専門教育科目, , 乙□, コミュニケーション論, コミュニケーション論, Ⅲ②, 6, D, 4, WEB可
14150, テキスト, 法学部専門教育科目, , 乙□, 都市社会学（Ｊ）, 都市社会学（Ｊ）, Ⅳ①, 7, E, 2, WEB可
14151, テキスト, 法学部専門教育科目, , 乙□, 社会保障論（Ｊ）, 社会保障論（Ｊ）, Ⅲ②, 6, B, 3, WEB可
14152, テキスト, 法学部専門教育科目, , 乙□, 経済原論（ミクロ経済学）（Ｊ）, 経済原論（ミクロ経済学）（Ｊ）, Ⅳ①, 7, A, 2, WEB可
14153, テキスト, 法学部専門教育科目, , 乙□, 経済原論（マクロ経済学）（Ｊ）, 経済原論（マクロ経済学）（Ｊ）, Ⅳ①, 7, B, 2, WEB可
14154, テキスト, 法学部専門教育科目, , 乙□, 財政論（Ｊ）, 財政論（Ｊ）, Ⅳ②, 8, B, 2, WEB可
14155, テキスト, 法学部専門教育科目, , , 金融論（Ｊ）, 金融論（Ｊ）, Ⅳ②, 8, F, 2, WEB可
14156, テキスト, 法学部専門教育科目, , , 経済政策学（Ｊ）, 経済政策学（Ｊ）, Ⅳ②, 8, E, 2, WEB可
14157, テキスト, 法学部専門教育科目, , , 社会政策（Ｊ）, 社会政策（Ｊ）, Ⅳ②, 8, B, 2, WEB可
14158, テキスト, 法学部専門教育科目, , , 経営学（Ｊ）, 経営学（Ｊ）, Ⅳ②, 8, F, 3, WEB可
14159, テキスト, 法学部専門教育科目, , , 会計学（Ｊ）, 会計学（Ｊ）, Ⅳ①, 7, E, 3, 郵送
14160, テキスト, 法学部専門教育科目, , , 人文地理学（Ｊ）, 人文地理学（Ｊ）, Ⅱ, 3, D, 2, WEB可
14161, テキスト, 法学部専門教育科目, , , 地理学Ⅰ（Ｊ）, 地理学Ⅰ（Ｊ）, Ⅲ①, 5, C, 2, WEB可
14162, テキスト, 法学部専門教育科目, , , 地理学Ⅱ（Ｊ）, 地理学Ⅱ（Ｊ）, Ⅲ②, 6, E, 2, WEB可
