ID, Name, Form, CategoryID, SubcategoryID, CouseID, Group, Level, Unit, Start, End
T0204, 社会学, T, 2, 0, 02, C, 3, 4, 2000, 2100
M0201, E-法学(憲法含), M/B, 2, 0, 02, B, 1, 2, 2024, 2100
S0201, 法学(憲法含), S, 2, 0, 02, , 1, 2, , 
S0202, 政治学(A), S, 2, 0, 02, , 1, 2, , 
S0203, 経済学, S, 2, 0, 02, , 1, 2, , 
S0204, 社会学, S, 2, 0, 02, , 1, 2, , 
S0205, 社会心理学, S, 2, 0, 02, , 1, 2, , 
S0206, 地理学, S, 2, 0, 02, , 1, 2, , 
S0207, 環境学入門, S, 2, 0, 02, , 1, 2, , 
S0208, 社会科学概論, S, 2, 0, 02, , 1, 2, , 
S0209, 社会科学特論, S, 2, 0, 02, , 1, 2, , 
T0301, 統計学(A), T, 3, 0, 03, D, 1, 4, 2000, 2100
T0302, 数学(基礎), T, 3, 0, 03, D, 3, 4, 2000, 2100
T0303, 数学(微積), T, 3, 0, 03, F, 3, 4, 2000, 2100
T0304, 数学(線形), T, 3, 0, 03, C, 3, 4, 2000, 2100
T0305, 地学, T, 3, 0, 03, C, 1, 4, 2000, 2100
T0306, 物理学, T, 3, 0, 03, A, 1, 4, 2000, 2100
T0307, 化学, T, 3, 0, 03, A, 1, 4, 2000, 2100
T0308, 生物学, T, 3, 0, 03, A, 1, 4, 2000, 2100
M0301, E-統計学(A), M/B, 3, 0, 03, D, 1, 2, 2014, 2100
S0301, 統計学(A), S, 3, 0, 03, , 1, 2, , 
S0302, 心理学(知覚), S, 3, 0, 03, , 1, 2, , 
S0303, 心理学(行動), S, 3, 0, 03, , 1, 2, , 
S0304, 地学, S, 3, 0, 03, , 1, 2, , 
S0305, 天文学, S, 3, 0, 03, , 1, 2, , 
S0306, 人類学, S, 3, 0, 03, , 1, 2, , 
S0307, 自然科学概論, S, 3, 0, 03, , 1, 2, , 
S0308, 自然科学特論, S, 3, 0, 03, , 1, 2, , 
S0309, 情報処理, S, 3, 0, 03, , 1, 2, , 
S0310, 数学(基礎), S, 3, 0, 03, , 1, 2, , 
S0311, 数学(微積), S, 3, 0, 03, , 1, 2, , 
S0312, 数学(線形), S, 3, 0, 03, , 1, 2, , 
S0313, 物理学実験A, S, 3, 0, 03, , 1, 2, , 
S0314, 物理学実験B, S, 3, 0, 03, , 1, 2, , 
S0315, 化学実験A, S, 3, 0, 03, , 1, 2, , 
S0316, 化学実験B, S, 3, 0, 03, , 1, 2, , 
S0317, 生物学実験A, S, 3, 0, 03, , 1, 2, , 
S0318, 生物学実験B, S, 3, 0, 03, , 1, 2, , 
S0401, 中国語, S, 4, 0, 04, , 1, 1, , 
S0402, スペイン語, S, 4, 0, 04, , 1, 1, , 
S0403, ロシア語, S, 4, 0, 04, , 1, 1, , 
S0404, 朝鮮語, S, 4, 0, 04, , 1, 1, , 
T0501, 英語1, T, 5, 15, 05, D, 1, 2, 2000, 2100
T0502, 英語2, T, 5, 15, 05, B, 1, 2, 2000, 2100
T0503, 英語3, T, 5, 15, 05, F, 3, 2, 2000, 2100
T0504, 英語7, T, 5, 15, 05, E, 3, 2, 2000, 2100
M0501, E-英語R, M/B, 5, 15, 05, E, 1, 1, 2023, 2100
M0502, E-英語W, M/B, 5, 15, 05, D, 1, 1, 2023, 2100
S0501, 英語R, S, 5, 15, 05, , 1, 1, , 
S0502, 英語W, S, 5, 15, 05, , 1, 1, , 
T0601, 独語第1部, T, 6, 15, 06, B, 1, 2, 2000, 2100
T0602, 独語第2部, T, 6, 15, 06, D, 1, 2, 2000, 2100
T0603, 独語第3部, T, 6, 15, 06, F, 3, 2, 2000, 2100
T0604, 独語第4部, T, 6, 15, 06, E, 3, 2, 2000, 2100
M0601, E-独語(初級前), M/B, 6, 15, 06, A, 1, 1, 2023, 2100
M0602, E-独語(初級後), M/B, 6, 15, 06, A, 1, 1, 2023, 2100
S0601, 独語(中級), S, 6, 15, 06, , 1, 1, , 
S0602, 独語(上級), S, 6, 15, 06, , 1, 1, , 
S0603, 独語(初級前), S, 6, 15, 06, , 1, 1, , 
S0604, 独語(初級後), S, 6, 15, 06, , 1, 1, , 
T0701, 仏語第1部, T, 7, 15, 07, B, 1, 2, 2000, 2100
T0702, 仏語第2部, T, 7, 15, 07, D, 1, 2, 2000, 2100
T0703, 仏語第3部, T, 7, 15, 07, F, 3, 2, 2000, 2100
T0704, 仏語第4部, T, 7, 15, 07, E, 3, 2, 2000, 2100
M0701, E-仏語(初級前), M/B, 7, 15, 07, B, 1, 1, 2023, 2100
